Code,Indicator Name,Long definition,Source
WP11674.2,"Mobile phone used to receive money, male (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11674.5,"Mobile phone used to receive money, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (% age 25+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11674.6,"Mobile phone used to receive money, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11674.10,"Mobile phone used to receive money, rural (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11674.7,"Mobile phone used to receive money, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11674.4,"Mobile phone used to receive money, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11673.1,Mobile phone used to send money (% age 15+) [w1],Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11673.3,"Mobile phone used to send money, female (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.8,"Mobile phone used to send money, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.9,"Mobile phone used to send money, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.2,"Mobile phone used to send money, male (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.5,"Mobile phone used to send money, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (% age 25+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11673.6,"Mobile phone used to send money, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.10,"Mobile phone used to send money, rural (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.7,"Mobile phone used to send money, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.4,"Mobile phone used to send money, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP15156_8.1,"No deposit and no withdrawal in the past year (% with an account, age 15+) [w2]","Denotes the percentage of respondents with an account at a bank or another type of financial institution who report neither a deposit into nor a withdrawal from their account in the past 12 months (% with an account, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11671.1,Outstanding loan for funerals or weddings (% age 15+) [w1],Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11671.3,"Outstanding loan for funerals or weddings, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11671.8,"Outstanding loan for funerals or weddings, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11671.9,"Outstanding loan for funerals or weddings, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11671.2,"Outstanding loan for funerals or weddings, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11671.5,"Outstanding loan for funerals or weddings, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (% age 25+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11671.6,"Outstanding loan for funerals or weddings, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11671.10,"Outstanding loan for funerals or weddings, rural (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11671.7,"Outstanding loan for funerals or weddings, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11671.4,"Outstanding loan for funerals or weddings, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11670.1,Outstanding loan for health or emergencies (% age 15+) [w1],Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11670.3,"Outstanding loan for health or emergencies, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11670.8,"Outstanding loan for health or emergencies, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11670.9,"Outstanding loan for health or emergencies, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11670.2,"Outstanding loan for health or emergencies, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11670.5,"Outstanding loan for health or emergencies, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (% age 25+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11670.6,"Outstanding loan for health or emergencies, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11670.10,"Outstanding loan for health or emergencies, rural (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11670.7,"Outstanding loan for health or emergencies, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11670.4,"Outstanding loan for health or emergencies, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11668.1,Outstanding loan for home construction (% age 15+) [w1],"Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (% age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.3,"Outstanding loan for home construction, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.8,"Outstanding loan for home construction, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.9,"Outstanding loan for home construction, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.2,"Outstanding loan for home construction, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.5,"Outstanding loan for home construction, older adults (% ages 25+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (% age 25+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.6,"Outstanding loan for home construction, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.10,"Outstanding loan for home construction, rural (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.7,"Outstanding loan for home construction, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.4,"Outstanding loan for home construction, young adults (% ages 15-24) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (% ages 15-24). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.1,Outstanding loan to pay school fees (% age 15+) [w1],Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11669.3,"Outstanding loan to pay school fees, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.8,"Outstanding loan to pay school fees, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.9,"Outstanding loan to pay school fees, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.2,"Outstanding loan to pay school fees, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.5,"Outstanding loan to pay school fees, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (% age 25+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11669.6,"Outstanding loan to pay school fees, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.10,"Outstanding loan to pay school fees, rural (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.7,"Outstanding loan to pay school fees, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.4,"Outstanding loan to pay school fees, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11656.1,Outstanding loan to purchase a home (% age 15+) [w1],Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11656.3,"Outstanding loan to purchase a home, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11656.8,"Outstanding loan to purchase a home, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11656.9,"Outstanding loan to purchase a home, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11656.2,"Outstanding loan to purchase a home, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11656.5,"Outstanding loan to purchase a home, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (% age 25+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11656.6,"Outstanding loan to purchase a home, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11656.10,"Outstanding loan to purchase a home, rural (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11656.7,"Outstanding loan to purchase a home, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11656.4,"Outstanding loan to purchase a home, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP15167.1,Outstanding mortgage (% age 15+) [w2],"Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.3,"Outstanding mortgage, female (% age 15+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.8,"Outstanding mortgage, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.9,"Outstanding mortgage, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.2,"Outstanding mortgage, male (% age 15+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.5,"Outstanding mortgage, older adults (% ages 25+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (% age 25+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.6,"Outstanding mortgage, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.10,"Outstanding mortgage, rural (% age 15+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.7,"Outstanding mortgage, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.4,"Outstanding mortgage, young adults (% ages 15-24) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (% ages 15-24). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172.1,Paid school fees in the past year (% age 15+) [w2],Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP15172.3,"Paid school fees in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172.8,"Paid school fees in the past year, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172.9,"Paid school fees in the past year, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172.2,"Paid school fees in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172.5,"Paid school fees in the past year, older adults (% ages 25+) [w2]",Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP15172.6,"Paid school fees in the past year, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172.10,"Paid school fees in the past year, rural (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172.7,"Paid school fees in the past year, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172.4,"Paid school fees in the past year, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP15175.1,"Paid school fees: using a mobile phone (% paying school fees, age 15+) [w2]","Denotes, among respondents reporting personally making regular payments for school fees in the past 12 months, the percentage who made these payments through a mobile phone (% paying school fees, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15174.1,"Paid school fees: using an account at a financial institution (% paying school fees, age 15+) [w2]","Denotes, among respondents reporting personally making regular payments for school fees in the past 12 months, the percentage who made these payments directly from an account at a bank or another type of financial institution. This includes using a debit card, a bank transfer, or a check (% paying school fees, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15173.1,"Paid school fees: using cash (% paying school fees, age 15+) [w2]","Denotes, among respondents reporting personally making regular payments for school fees in the past 12 months, the percentage who made these payments using cash (% paying school fees, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.1,Paid utility bills in the past year (% age 15+) [w2],"Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.3,"Paid utility bills in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.8,"Paid utility bills in the past year, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.9,"Paid utility bills in the past year, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.2,"Paid utility bills in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.5,"Paid utility bills in the past year, older adults (% ages 25+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (% age 25+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.6,"Paid utility bills in the past year, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.10,"Paid utility bills in the past year, rural (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.7,"Paid utility bills in the past year, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.4,"Paid utility bills in the past year, young adults (% ages 15-24) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (% ages 15-24). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14943.1,"Paid utility bills: using a mobile phone (% paying utility bills, age 15+) [w2]","Denotes, among respondents reporting personally making regular payments in the past 12 months for water, electricity, or trash collection, the percentage who made these payments through a mobile phone (% paying utility bills, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14942.1,"Paid utility bills: using an account at a financial institution (% paying utility bills, age 15+) [w2]","Denotes, among respondents reporting personally making regular payments in the past 12 months for water, electricity, or trash collection, the percentage who made these payments directly from an account at a bank or another type of financial institution. This includes using a debit card, a bank transfer, or a check (% paying utility bills, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14941.1,"Paid utility bills: using cash (% paying utility bills, age 15+) [w2]","Denotes, among respondents reporting personally making regular payments in the past 12 months for water, electricity, or trash collection, the percentage who made these payments using cash (% paying utility bills, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11658.1,Personally paid for health insurance (% age 15+) [w1],Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11658.3,"Personally paid for health insurance, female (% age 15+) [w1]","Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11658.8,"Personally paid for health insurance, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11658.9,"Personally paid for health insurance, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11658.2,"Personally paid for health insurance, male (% age 15+) [w1]","Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11658.5,"Personally paid for health insurance, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (% age 25+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11658.6,"Personally paid for health insurance, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11658.10,"Personally paid for health insurance, rural (% age 15+) [w1]","Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11658.7,"Personally paid for health insurance, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11658.4,"Personally paid for health insurance, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
FB.POS.TOTL.P5,"Point-of-sale terminals (per 100,000 adults)",Point-of-sale terminals are the equipment used to manage the selling process by a salesperson-accessible interface in the location where a transaction takes place.,Consultative Group to Assist the Poor and the World Bank Group’s "Financial Access 2010."
